Year,FS_Chained,FS_1980_base,FS_2023_base
1980,0.0,0.0,0.0
1981,0.014374914145783645,0.014496878133138255,0.006305961364893768
1982,0.043105537916585175,0.04359118798314169,0.01909303160695893
1983,0.07179798138981434,0.07288460391528145,0.032232366248456275
1984,0.10045269930339254,0.10237310063636301,0.04572777976301505
1985,0.12907014092925947,0.1320526101327934,0.05958283374964423
1986,0.15765075014093108,0.16191902862952445,0.07380082854131553
1987,0.1861949654801226,0.19196822336177105,0.08838479534308928
1988,0.2147032202224538,0.2221960391477258,0.10333748894451986
1989,0.24317594244225146,0.2525983047518077,0.11866138104875397
1990,0.2716135550764577,0.283170839029286,0.13435865425802046
1991,0.30001647598766035,0.31390945684442,0.15043119675213978
1992,0.3283851180262547,0.3448099747555147,0.1668805976932485
1993,0.3567198890917447,0.3758682164615222,0.18370814338618074
1994,0.3850211921931913,0.40708001800601,0.20091481421990826
1995,0.41328942550881764,0.4384412327354674,0.21850128241114108
1996,0.4415249824447719,0.46994773601000633,0.23646791056666494
1997,0.4697282516930506,0.5015954296655576,0.25481475107630336
1998,0.4978996172885856,0.5333802462276463,0.2735415463435668
1999,0.5260394586654882,0.5652981528777435,0.29264772985613485
2000,0.5541481507124473,0.5973451551740558,0.3121324280933834
2001,0.5822260638272715,0.6295173005294042,0.33199446326323284
2002,0.6102735639705607,0.661810681449571,0.3522323568557304
2003,0.6382910127184892,0.694221438536161,0.37284433399602496
2004,0.6662787673146755,0.72674576325862,0.39382832857479755
2005,0.6942371807211055,0.7593799005005877,0.4151819891298206
2006,0.7221666016680716,0.7921201508862389,0.4369026854481681
2007,0.750067374703074,0.8249628728926738,0.45898751585473613
2008,0.7779398402386261,0.8579044847547745,0.48143331514918464
2009,0.8057843345988831,0.890941466169235,0.504236663150204
2010,0.8336011900650057,0.9240703598047151,0.527393893803179
2011,0.8613907349191438,0.9572877726252554,0.5509011048048773
2012,0.8891532934869051,0.9905903770342204,0.5747541676967424
2013,0.9168891861781433,1.023974911846127,0.5989487383767428
2014,0.9445987295258695,1.0574381830937578,0.6234802679785052
2015,0.9722822362230491,1.0909770646779466,0.6483440140656533
2016,0.9999400151569975,1.1245884988673827,0.673535052088869
2017,1.0275723714410385,1.1582694966556875,0.6990482870531747
2018,1.0551796064430103,1.1920171379828912,0.7248784653432971
2019,1.0827620178101345,1.2258285718282629,0.7510201866556797
2020,1.1103198994896626,1.2597010161812485,0.7774679159867519
2021,1.137853541744603,1.29363175789702,0.8042159956283977
2022,1.1653632311636926,1.327618152442852,0.8312586571231655
2023,1.1928492506646193,1.3616576235412203,0.8585900331336022
